2026-02-25 04:53:30.249 [main] INFO  com.cryptorate.CryptoRateApplication - Starting CryptoRateApplication using Java 17.0.10 with PID 26600 (C:\Users\ASUS\Desktop\毕业设计\CryptoRate\target\classes started by ASUS in C:\Users\ASUS\Desktop\毕业设计\CryptoRate)
2026-02-25 04:53:30.258 [main] DEBUG com.cryptorate.CryptoRateApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-02-25 04:53:30.259 [main] INFO  com.cryptorate.CryptoRateApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-25 04:53:31.236 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-25 04:53:31.247 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-02-25 04:53:31.249 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-02-25 04:53:31.305 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-25 04:53:31.307 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 994 ms
2026-02-25 04:53:32.125 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-02-25 04:53:32.135 [main] INFO  com.cryptorate.CryptoRateApplication - Started CryptoRateApplication in 2.462 seconds (process running for 3.295)
2026-02-25 05:01:20.451 [main] INFO  com.cryptorate.CryptoRateApplication - Starting CryptoRateApplication using Java 17.0.10 with PID 27660 (C:\Users\ASUS\Desktop\毕业设计\CryptoRate\target\classes started by ASUS in C:\Users\ASUS\Desktop\毕业设计\CryptoRate)
2026-02-25 05:01:20.453 [main] DEBUG com.cryptorate.CryptoRateApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-02-25 05:01:20.454 [main] INFO  com.cryptorate.CryptoRateApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-25 05:01:21.270 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-25 05:01:21.277 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-02-25 05:01:21.277 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-02-25 05:01:21.323 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-25 05:01:21.323 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 831 ms
2026-02-25 05:01:21.943 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-02-25 05:01:21.951 [main] INFO  com.cryptorate.CryptoRateApplication - Started CryptoRateApplication in 1.904 seconds (process running for 2.46)
2026-02-25 05:01:45.728 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-25 05:01:45.729 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-25 05:01:45.729 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-02-25 05:01:45.786 [http-nio-8080-exec-1] INFO  com.cryptorate.controller.RateController - 接收到获取币种列表请求
2026-02-25 05:01:45.786 [http-nio-8080-exec-1] INFO  com.cryptorate.service.RateService - 获取系统支持的币种
2026-02-25 05:01:45.795 [http-nio-8080-exec-9] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTC, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:01:45.795 [http-nio-8080-exec-10] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:01:45.795 [http-nio-8080-exec-4] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTC, 范围: 7d
2026-02-25 05:01:45.798 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTC, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:01:45.798 [http-nio-8080-exec-4] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTC, 范围: 7d
2026-02-25 05:01:45.798 [http-nio-8080-exec-10] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:01:45.808 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - CryptoRateHikariPool - Starting...
2026-02-25 05:01:46.070 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - CryptoRateHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@15958d56
2026-02-25 05:01:46.071 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - CryptoRateHikariPool - Start completed.
2026-02-25 05:01:46.176 [http-nio-8080-exec-1] INFO  com.cryptorate.service.RateService - 共支持 388 个币种
2026-02-25 05:01:46.241 [http-nio-8080-exec-6] INFO  com.cryptorate.controller.RateController - 接收到获取币种列表请求
2026-02-25 05:01:46.241 [http-nio-8080-exec-6] INFO  com.cryptorate.service.RateService - 获取系统支持的币种
2026-02-25 05:01:46.244 [http-nio-8080-exec-5] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTC, 范围: 7d
2026-02-25 05:01:46.244 [http-nio-8080-exec-3] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTC, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:01:46.246 [http-nio-8080-exec-5] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTC, 范围: 7d
2026-02-25 05:01:46.246 [http-nio-8080-exec-3] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTC, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:01:46.248 [http-nio-8080-exec-2] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:01:46.248 [http-nio-8080-exec-6] INFO  com.cryptorate.service.RateService - 共支持 388 个币种
2026-02-25 05:01:46.249 [http-nio-8080-exec-2] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:01:51.479 [http-nio-8080-exec-5] INFO  com.cryptorate.controller.RateController - 接收到获取币种列表请求
2026-02-25 05:01:51.479 [http-nio-8080-exec-5] INFO  com.cryptorate.service.RateService - 获取系统支持的币种
2026-02-25 05:01:51.479 [http-nio-8080-exec-2] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:01:51.480 [http-nio-8080-exec-2] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:01:51.482 [http-nio-8080-exec-8] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTC, 范围: 7d
2026-02-25 05:01:51.482 [http-nio-8080-exec-7] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTC, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:01:51.482 [http-nio-8080-exec-8] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTC, 范围: 7d
2026-02-25 05:01:51.482 [http-nio-8080-exec-7] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTC, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:01:51.485 [http-nio-8080-exec-5] INFO  com.cryptorate.service.RateService - 共支持 388 个币种
2026-02-25 05:01:51.488 [http-nio-8080-exec-1] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTC, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:01:51.488 [http-nio-8080-exec-1] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTC, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:01:51.489 [http-nio-8080-exec-9] INFO  com.cryptorate.controller.RateController - 接收到获取币种列表请求
2026-02-25 05:01:51.489 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 获取系统支持的币种
2026-02-25 05:01:51.494 [http-nio-8080-exec-10] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTC, 范围: 7d
2026-02-25 05:01:51.495 [http-nio-8080-exec-10] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTC, 范围: 7d
2026-02-25 05:01:51.495 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 共支持 388 个币种
2026-02-25 05:01:51.513 [http-nio-8080-exec-4] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:01:51.513 [http-nio-8080-exec-4] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:01:51.958 [scheduling-1] DEBUG com.cryptorate.scheduler.RateScheduler - [定时任务] scheduler.enabled=false，本次定时同步已跳过
2026-02-25 05:01:55.658 [http-nio-8080-exec-6] INFO  com.cryptorate.controller.RateController - 接收到搜索币种请求，关键词: B
